distance,rpm,tof
6.75,4001.953125,1.6551485184337371
6.8,4022.4609375,1.6605474952162167
6.85,4036.1328125,1.668689354856991
6.9,4053.22265625,1.6754134142916626
6.95,4070.3125,1.6821071434751964
7.0,4083.984375,1.6901598834754616
7.05,4104.4921875,1.6954054383338022
7.1,4118.1640625,1.7033990719008207
7.15,4138.671875,1.7085875928174434
7.2,4152.34375,1.7165236961802632
7.25,4172.8515625,1.7216569036379723
7.3,4186.5234375,1.7295370008909055
7.35,4203.61328125,1.7360028667510548
7.4,4220.703125,1.7424421200713143
7.45,4234.375,1.7502431835050833
7.5,4254.8828125,1.7552420817795578
7.55,4268.5546875,1.7629906847750505
7.6,4289.0625,1.767939824955293
7.65,4302.734375,1.775637386718099
7.7,4323.2421875,1.780538237761545
7.75,4336.9140625,1.7881860245574737
7.8,4350.5859375,1.7958114983838651
7.85,4371.09375,1.800639368298516
7.9,4384.765625,1.808216969296042
7.95,4405.2734375,1.8130000074402035
8.0,4418.9453125,1.8205310138243789
8.05,4439.453125,1.8252705803026663
8.1,4453.125,1.8327561342671204
8.15,4466.796875,1.8402213347471563
8.2,4487.3046875,1.8448947924562191
8.25,4500.9765625,1.8523162870776415
8.3,4521.484375,1.8569493729836477
8.35,4535.15625,1.864328275086399
8.4,4552.24609375,1.8703038718592075
8.45,4569.3359375,1.8762595759513283
8.5,4583.0078125,1.8835783978221798
8.55,4603.515625,1.888112396735071
8.6,4617.1875,1.895391270596509
8.65,4637.6953125,1.8998889019761653
8.7,4651.3671875,1.9071288243686677
8.75,4668.45703125,1.912970005058586
8.8,4685.546875,1.9187931515417278
8.85,4699.21875,1.9259781892479435
8.9,4719.7265625,1.930386235676939
8.95,4733.3984375,1.9375347589940939
9.0,4750.48828125,1.9432872691532075
